title,director,country,link,festival,year,distinction,reward
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Tallinn Black Nights Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Asian Film Awards,2024,Nommé,Best Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Asian Film Awards,2024,Lauréat,Best Actor
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Kinema Junpo Awards,2024,Lauréat,Best Actor
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Kinema Junpo Awards,2024,2e place,Top10 Japanese Films
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Kinema Junpo Awards,2024,Lauréat,Japanese Film Director
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Gijón International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Hawaii International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Hamburg Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Havana Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Philadelphia Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Zurich Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Seattle Film Critics Awards,2024,Nommé,Best Lead Actor
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Sarajevo Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Valdivia International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Viennale,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Rio de Janeiro International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Tromsø International Film Festival,2024,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Palm Springs International Film Festival,2024,Sélection Officielle,FIPRESCI Prize - Best Foreign Language Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Awards of the Japanese Academy,2024,Nommé,Best Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Awards of the Japanese Academy,2024,Lauréat,Best Director
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Awards of the Japanese Academy,2024,Lauréat,Best Actor
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Hong Kong Asian Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Shanghai International Film Festival,2024,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Calgary International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Critics Choice Awards,2024,Nommé,Best Foreign Language Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Mumbai Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,International Film Festival of Kerala,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Lisbon & Estoril Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Riga International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Haifa International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,New Zealand International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Montclair Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Dharamshala International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Gilde Filmpreis,2023,Lauréat,Bester Film (international)
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Whistler Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Festival de Cannes,2023,Nommé,Prix du Jury
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Festival de Cannes,2023,Nommé,Palme d'Or
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Toronto International Film Festival,2023,Sélection Officielle,TFCA Award - Best International Feature
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,San Sebastián International Film Festival,2023,Sélection Officielle,FIPRESCI Film of the Year
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Telluride Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Indiewire Critics' Poll,2023,Nommé,Best International Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,São Paulo International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,BFI London Film Festival,2023,Sélection Officielle,Best International Independent Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,National Board of Review,2023,Lauréat,NBR Award Top Five International Films
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Mar del Plata International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,The New York Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Les César du cinéma,2024,Nommé,Best Foreign Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Golden Globes (USA),2024,Nommé,Meilleur film en langue étrangère
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Golden Globes (USA),2024,Nommé,Meilleure actrice dans un film musical ou comédie
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,European Film Awards,2023,Nommé,European Actress
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,European Film Awards,2023,Nommé,European Actor
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,European Film Awards,2023,Nommé,European Screenwriter
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,European Film Awards,2023,Nommé,European Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,European Film Awards,2023,Nommé,European Director
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,AFI FEST,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Karlovy Vary International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Vancouver International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Chicago International Film Festival,2023,Sélection Officielle,Gold Hugo - Best Feature
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Chicago International Film Festival,2023,Sélection Officielle,Silver Hugo - Best Director
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,San Francisco Film Critics Circle,2024,Nommé,Best International Feature Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,London Critics Circle Film Awards,2024,Nommé,Foreign Language Film of the Year
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Festival du Nouveau Cinéma,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,National Society of Film Critics Awards,2024,Lauréat,NSFC Award - Best Film Not in the English Language
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,David di Donatello Awards,2024,Nommé,Best International Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Bodil Awards,2024,Nommé,Best Non-English Language Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Mill Valley Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Ghent Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Sydney Film Festival,2023,Sélection Officielle,Sydney Film - Prize Best Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Busan International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Tallinn Black Nights Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Kinema Junpo Awards,2024,3e place,Top10 Foreign Films
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Gijón International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Festival du Cinéma Américain de Deauville,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Hawaii International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Munich Film Festival,2023,Sélection Officielle,ARRI/OSRAM Award - Best International Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Munich Film Festival,2023,Sélection Officielle,Audience Award Bayern 2 and SZ - Audience Award
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Thessaloniki Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Havana Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Helsinki International Film Festival - Love & Anarchy,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Helsinki International Film Festival - Love & Anarchy,2024,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Belfast Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Seville European Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Philadelphia Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Gaudí Awards,2025,Nommé,Best European Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Hong Kong International Film Festival,2024,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Sarajevo Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Valdivia International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Bergen International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Palm Springs International Film Festival,2024,Sélection Officielle,FIPRESCI Prize - Best Foreign Language Film
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Norwegian International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Calgary International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Mumbai Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,International Film Festival of Kerala,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Singapore International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Durban International Film Festival,2024,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,New Horizons International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Riga International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,New Zealand International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Montclair Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Dharamshala International Film Festival,2023,,Sélection Officielle
LES FEUILLES MORTES,Aki Kaurismäki,Finlande,/fr/fr/films/fallen-leaves-2023,Cinefest Sudbury International Film Festival,2023,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Locarno International Film Festival,2023,Lauréat,European Cinemas Label Award
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,São Paulo International Film Festival,2023,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Mar del Plata International Film Festival,2023,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Les César du cinéma,2024,Nommé,Best Actor
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Les César du cinéma,2024,Nommé,Best Supporting Actor
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Festival du Nouveau Cinéma,2023,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Jeonju International Film Festival,2024,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Golden Horse Film Festival,2023,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Helsinki International Film Festival - Love & Anarchy,2024,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,L'Académie des Lumières,2024,Nommé,Best Screenplay
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Viennale,2023,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Torino Film Festival,2023,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,International Film Festival of India,2023,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,Glasgow Film Festival,2024,,Sélection Officielle
YANNICK,Quentin Dupieux,France,/fr/fr/films/yannick,New Horizons International Film Festival,2024,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Festival de Cannes,2023,Lauréat,Palme d'Or
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Academy Awards,2024,Nommé,Meilleur réalisateur
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Academy Awards,2024,Nommé,Meilleur film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Academy Awards,2024,Lauréat,Meilleur scénario original
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Academy Awards,2024,Nommé,Best Editing
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Academy Awards,2024,Nommé,Meilleure interprétation féminine
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Locarno International Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Independent Spirit Awards,2024,Lauréat,Best International Film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Toronto International Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,San Sebastián International Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Telluride Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Indiewire Critics' Poll,2023,Nommé,Best Director
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Indiewire Critics' Poll,2023,Nommé,Best Performance
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Indiewire Critics' Poll,2023,Nommé,Best Screenplay
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Indiewire Critics' Poll,2023,Lauréat,Best International Film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Indiewire Critics' Poll,2023,Nommé,Best Film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,São Paulo International Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,BAFTA Awards,2024,Nommé,Best Leading Actress
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,BAFTA Awards,2024,Nommé,Meilleure réalisation
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,BAFTA Awards,2024,Lauréat,Best Screenplay (Original)
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,BAFTA Awards,2024,Nommé,Meilleur film étranger
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,BAFTA Awards,2024,Nommé,Best Casting
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,BAFTA Awards,2024,Nommé,Best Editing
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,BAFTA Awards,2024,Nommé,Meilleur film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,The New York Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Lauréat,Best Supporting Actor
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Nommé,Best Sound
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Nommé,Best Supporting Actor
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Nommé,Best Production Design
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Nommé,Most Promising Actor
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Lauréat,Best Film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Lauréat,Best Original Screenplay
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Lauréat,Best Director
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Nommé,Best Cinematography
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Lauréat,Best Actress
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Les César du cinéma,2024,Lauréat,Best Editing
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Prix Louis Delluc,2023,Nommé,Best Film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Golden Globes (USA),2024,Lauréat,Meilleur scénario
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Golden Globes (USA),2024,Nommé,Meilleur film dramatique
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Golden Globes (USA),2024,Nommé,Meilleure actrice dans un film dramatique
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Golden Globes (USA),2024,Lauréat,Meilleur film en langue étrangère
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,New York Film Critics Circle Awards,2023,Lauréat,Best International Film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Los Angeles Film Critics Association Awards,2023,Lauréat,Best Editing
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Los Angeles Film Critics Association Awards,2023,Lauréat,Best Film Not in the English Language
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,European Film Awards,2023,Lauréat,Best European Screenwriter
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,European Film Awards,2023,Lauréat,Best European Editing
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,European Film Awards,2023,Lauréat,European University Film Award
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,European Film Awards,2023,Lauréat,Best European Film
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,European Film Awards,2023,Lauréat,Best European Director
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,European Film Awards,2023,Lauréat,Best European Actress
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Karlovy Vary International Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Vancouver International Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,Chicago International Film Festival,2023,,Sélection Officielle
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,San Francisco Film Critics Circle,2024,Nommé,Best Actress
ANATOMIE D'UNE CHUTE,Justine Triet,France,/fr/fr/films/anatomy-of-a-fall,San Francisco Film Critics Circle,2024,Nommé,Best International Feature Film
