title,director,country,link,festival,year,distinction,reward
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Festival de Cannes,2023,Lauréat,Prix d'interprétation masculine
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Festival de Cannes,2023,Nommé,Prize of the Ecumenical Jury
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Academy Awards,2024,Nommé,Best International Feature Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Toronto International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,San Sebastián International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Telluride Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Indiewire Critics' Poll,2023,Nommé,Best Performance
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Indiewire Critics' Poll,2023,Nommé,Best International Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,BFI London Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,The New York Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Les César du cinéma,2024,Nommé,Best Foreign Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Transilvania International Film Festival,2024,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,AFI FEST,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Karlovy Vary International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Istanbul International Film Festival,2024,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Chicago International Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,San Francisco Film Critics Circle,2024,Nommé,Best International Feature Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Golden Horse Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Toronto Film Critics Association Awards,2023,Nommé,TFCA Award - Outstanding Lead Performance
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Boston Society of Film Critics Awards,2023,Nommé,Best Actor
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Bodil Awards,2025,Nommé,Best Foreign Language Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Ghent Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Sydney Film Festival,2023,,Sélection Officielle
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Asia Pacific Screen Awards,2023,Nommé,Best Performance
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Asia Pacific Screen Awards,2023,Lauréat,Best Film
PERFECT DAYS,Wim Wenders,Japon,/fr/fr/films/perfect-days,Tokyo International Film Festival,2023,,Sélection Officielle
