film_id,original_name,cnc_agrement_year,allocine_id,allocine_title,allocine_url
42,Karaoké,2023,323011,Let's Go Karaoke!,https://www.allocine.fr/film/fichefilm_gen_cfilm=323011.html
43,Louise Violet,2023,311443,Louise Violet,https://www.allocine.fr/film/fichefilm_gen_cfilm=311443.html
44,Histoire d'un mariage,2023,321257,Dis-moi juste que tu m'aimes,https://www.allocine.fr/film/fichefilm_gen_cfilm=321257.html
45,Tous frais payés,2023,317524,L’Heureuse élue,https://www.allocine.fr/film/fichefilm_gen_cfilm=317524.html
46,Maldoror,2023,303479,Le Dossier Maldoror,https://www.allocine.fr/film/fichefilm_gen_cfilm=303479.html
47,Marcello,2023,317639,Marcello Mio,https://www.allocine.fr/film/fichefilm_gen_cfilm=317639.html
48,Une affaire de principe,2023,311445,Une affaire de principe,https://www.allocine.fr/film/fichefilm_gen_cfilm=311445.html
49,Daaaaaali,2023,310162,Daaaaaali !,https://www.allocine.fr/film/fichefilm_gen_cfilm=310162.html
50,Un p'tit truc en plus,2023,318031,Un p’tit truc en plus,https://www.allocine.fr/film/fichefilm_gen_cfilm=318031.html
51,Swing,2023,41416,Swing,https://www.allocine.fr/film/fichefilm_gen_cfilm=41416.html
52,La vallée des fous,2023,321831,La Vallée des fous,https://www.allocine.fr/film/fichefilm_gen_cfilm=321831.html
53,Challenger,2023,300855,Challengers,https://www.allocine.fr/film/fichefilm_gen_cfilm=300855.html
54,Cococolin,2023,316508,Le Panache,https://www.allocine.fr/film/fichefilm_gen_cfilm=316508.html
55,Le bal des folles,2023,280349,Le Bal Des Folles,https://www.allocine.fr/film/fichefilm_gen_cfilm=280349.html
56,Paris Paradis,2023,317098,Paradis Paris,https://www.allocine.fr/film/fichefilm_gen_cfilm=317098.html
57,Le fil,2023,320038,Le Fil,https://www.allocine.fr/film/fichefilm_gen_cfilm=320038.html
58,La disparition,2023,295491,La Disparition ?,https://www.allocine.fr/film/fichefilm_gen_cfilm=295491.html
59,Noël au balcon,2023,316394,Un Noël en famille,https://www.allocine.fr/film/fichefilm_gen_cfilm=316394.html
60,En fanfare,2023,314009,En fanfare,https://www.allocine.fr/film/fichefilm_gen_cfilm=314009.html
61,L'amour c'est surcoté,2023,314778,L'Amour c'est surcoté,https://www.allocine.fr/film/fichefilm_gen_cfilm=314778.html
62,Les prodigieuses,2023,308390,Prodigieuses,https://www.allocine.fr/film/fichefilm_gen_cfilm=308390.html
63,Inestimables,2023,316739,Inestimable,https://www.allocine.fr/film/fichefilm_gen_cfilm=316739.html
64,La promesse verte,2023,314138,La Promesse verte,https://www.allocine.fr/film/fichefilm_gen_cfilm=314138.html
65,Les nouveaux Patrons,2023,314101,Presque légal,https://www.allocine.fr/film/fichefilm_gen_cfilm=314101.html
66,Le livre magique,2023,316507,Super Papa,https://www.allocine.fr/film/fichefilm_gen_cfilm=316507.html
67,Planète B,2023,309161,Planète B,https://www.allocine.fr/film/fichefilm_gen_cfilm=309161.html
68,Panda bear in Africa,2023,281994,Petit Panda en Afrique,https://www.allocine.fr/film/fichefilm_gen_cfilm=281994.html
69,Heureux gagnants,2023,316138,Heureux gagnants,https://www.allocine.fr/film/fichefilm_gen_cfilm=316138.html
70,Hors saison,2023,309546,Hors-saison,https://www.allocine.fr/film/fichefilm_gen_cfilm=309546.html
71,Opération Portugal 2,2023,276680,Opération Portugal,https://www.allocine.fr/film/fichefilm_gen_cfilm=276680.html
72,"Bambi, l'histoire d'une vie dans les bois",2023,1000002053,"Bambi, L’histoire d’une vie dans les bois",https://www.allocine.fr/film/fichefilm_gen_cfilm=1000002053.html
73,L'Attachement,2023,313781,L’Attachement,https://www.allocine.fr/film/fichefilm_gen_cfilm=313781.html
74,Le successeur,2023,312117,Le Successeur,https://www.allocine.fr/film/fichefilm_gen_cfilm=312117.html
75,Little Jaffna,2023,311911,Little Jaffna,https://www.allocine.fr/film/fichefilm_gen_cfilm=311911.html
76,"Nous, les Leroy",2023,312488,"Nous, les Leroy",https://www.allocine.fr/film/fichefilm_gen_cfilm=312488.html
77,"D'où viens-tu, berger ?",2023,1000000424,Bergers,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000000424.html
78,Les segpa 2,2023,293378,Les SEGPA,https://www.allocine.fr/film/fichefilm_gen_cfilm=293378.html
79,Un homme de principe,2023,Not found,Not found,Not found
80,Muganga,2023,268902,Celui qui soigne - Muganga,https://www.allocine.fr/film/fichefilm_gen_cfilm=268902.html
81,Je le jure,2023,309688,Je le jure,https://www.allocine.fr/film/fichefilm_gen_cfilm=309688.html
82,Vermines,2023,311895,Vermines,https://www.allocine.fr/film/fichefilm_gen_cfilm=311895.html
83,Oxana,2023,291595,Oxana,https://www.allocine.fr/film/fichefilm_gen_cfilm=291595.html
84,La nuit se traine,2023,299310,La Nuit se traîne,https://www.allocine.fr/film/fichefilm_gen_cfilm=299310.html
85,Dakar,2023,140396,Get on Dakar,https://www.allocine.fr/film/fichefilm_gen_cfilm=140396.html
86,Survivre,2023,323029,Survivre,https://www.allocine.fr/film/fichefilm_gen_cfilm=323029.html
87,Quand vient l'automne,2023,320238,Quand vient l’automne,https://www.allocine.fr/film/fichefilm_gen_cfilm=320238.html
88,Drone,2023,313489,Drone,https://www.allocine.fr/film/fichefilm_gen_cfilm=313489.html
89,A son image,2023,308391,À son image,https://www.allocine.fr/film/fichefilm_gen_cfilm=308391.html
90,Les barbares,2023,305780,Les Barbares,https://www.allocine.fr/film/fichefilm_gen_cfilm=305780.html
91,Portraits trompeurs,2023,294404,La Prisonnière de Bordeaux,https://www.allocine.fr/film/fichefilm_gen_cfilm=294404.html
92,Le secret des mésanges,2023,307848,Le Secret des Mésanges,https://www.allocine.fr/film/fichefilm_gen_cfilm=307848.html
93,Fanon,2023,1000016582,Fanon,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000016582.html
94,Grand tour,2023,325470,Grand Tour,https://www.allocine.fr/film/fichefilm_gen_cfilm=325470.html
95,Iris et les hommes,2023,307775,Iris et les hommes,https://www.allocine.fr/film/fichefilm_gen_cfilm=307775.html
96,La petite vadrouille,2023,317100,La Petite vadrouille,https://www.allocine.fr/film/fichefilm_gen_cfilm=317100.html
97,Sous le vent des marquises,2023,307821,Sous le vent des Marquises,https://www.allocine.fr/film/fichefilm_gen_cfilm=307821.html
98,Une part manquante,2023,313955,Une part manquante,https://www.allocine.fr/film/fichefilm_gen_cfilm=313955.html
99,Langue étrangère,2023,286689,Langue étrangère,https://www.allocine.fr/film/fichefilm_gen_cfilm=286689.html
100,A la hauteur,2023,313778,Jouer avec le feu,https://www.allocine.fr/film/fichefilm_gen_cfilm=313778.html
101,Vivants,2023,1000005160,Aimons-nous vivants,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000005160.html
102,Animale,2023,316304,Animale,https://www.allocine.fr/film/fichefilm_gen_cfilm=316304.html
103,"Vermiglio, ou la mariée des montagnes",2023,294235,Vermiglio ou La Mariée des Montagnes,https://www.allocine.fr/film/fichefilm_gen_cfilm=294235.html
104,La fille d'un grand amour,2023,320702,La Fille d’un grand amour,https://www.allocine.fr/film/fichefilm_gen_cfilm=320702.html
105,En tongs au pied de l'Himalaya,2023,305777,En tongs au pied de l'Himalaya,https://www.allocine.fr/film/fichefilm_gen_cfilm=305777.html
106,La vie devant moi,2023,288262,La Vie devant moi,https://www.allocine.fr/film/fichefilm_gen_cfilm=288262.html
107,The quiet ones - Les silencieux,2023,Not found,Not found,Not found
108,Une honnête femme,2023,311435,Trois amies,https://www.allocine.fr/film/fichefilm_gen_cfilm=311435.html
109,Magma,2023,318223,Magma,https://www.allocine.fr/film/fichefilm_gen_cfilm=318223.html
110,El Salto,2023,238801,El salto,https://www.allocine.fr/film/fichefilm_gen_cfilm=238801.html
111,Salle des ventes,2023,320184,Le Tableau volé,https://www.allocine.fr/film/fichefilm_gen_cfilm=320184.html
112,Le royaume,2023,309689,Le Royaume,https://www.allocine.fr/film/fichefilm_gen_cfilm=309689.html
113,14 jours pour aller mieux,2023,316137,14 jours pour aller mieux,https://www.allocine.fr/film/fichefilm_gen_cfilm=316137.html
114,Les fantômes,2023,300935,Les Fantômes,https://www.allocine.fr/film/fichefilm_gen_cfilm=300935.html
115,Omar dans son château,2023,Not found,Not found,Not found
