mubi_label,english_label,french_label
¡Cine Latino Award - Special Mention,Special Mention,Mention spéciale
“Sorriso diverso” Award Best Foreign Film,Best Foreign Film,Meilleur film étranger
45th Deauville American Film Festival Award,Festival Award,Prix du festival
4Love Award Best Animation,Best Animated Film,Meilleur film d’animation
4th Audience Award for Best Feature,Best Feature,Meilleur long métrage
5th Audience Award for Best Documentary,Best Documentary,Meilleur documentaire
AACTA International Award - Best Lead Actress,Best Actress,Meilleure actrice
AACTA International Award for Best Direction,Best Director,Meilleur réalisateur
AACTA International Award for Best Film,Best Film,Meilleur film
AACTA International Award for Best Lead Actor,Best Actor,Meilleur acteur
AACTA International Award for Best Lead Actress,Best Actress,Meilleure actrice
AACTA International Award for Best Screenplay,Best Screenplay,Meilleur scénario
AACTA International Award for Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
AACTA International Award for Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
ABC News VideoSource Award,Festival Award,Prix du festival
Achievement in Art Direction/Production Design,Best Production Design,Meilleure direction artistique
Achievement in Cinematography,Best Cinematography,Meilleure photographie
Achievement in Costume Design,Best Costume Design,Meilleurs costumes
Achievement in Directing,Best Director,Meilleur réalisateur
Achievement in Direction,Best Director,Meilleur réalisateur
Achievement in Editing,Best Editing,Meilleur montage
Achievement in Make-Up,Best Make-Up,Meilleur maquillage
Achievement in Makeup,Best Make-Up,Meilleur maquillage
Achievement in Music - Original Score,Best Music,Meilleure musique
Achievement in Overall Sound,Best Sound,Meilleur son
Achievement in Sound Editing,Best Sound,Meilleur son
Achille Valdata Award,Festival Award,Prix du festival
Acting Award,Best Actor,Meilleur acteur
Actor - Outstanding Performance by a Cast in a Motion Picture,Best Ensemble,Meilleure distribution
Actor - Outstanding Performance by a Female Actor in a Leading Role,Best Actress,Meilleure actrice
Actor - Outstanding Performance by a Male Actor in a Supporting Role,Best Supporting Actor,Meilleur acteur dans un second rôle
Actor (Desert Palm Achievement Award),Best Actor,Meilleur acteur
Actor in a Supporting Role,Best Supporting Actor,Meilleur acteur dans un second rôle
Actor of the Year,Best Actor,Meilleur acteur
Actress,Best Actress,Meilleure actrice
Actress (Desert Palmer Achievement Award),Best Actress,Meilleure actrice
Actress in a Lead Role Film,Best Actress,Meilleure actrice
Actress in a Leading Role - Film,Best Actress,Meilleure actrice
Actress in a Supporting Role Film,Best Supporting Actress,Meilleure actrice dans un second rôle
Actress of the Year,Best Actress,Meilleure actrice
Adapted Screenplay,Best Screenplay,Meilleur scénario
Adapted Screenplay Award,Best Screenplay,Meilleur scénario
ADL Stand Up Award,Festival Award,Prix du festival
Adobe Editing Award,Best Editing,Meilleur montage
Adobe Visual Effect Award (Lab Competition),Best Visual Effects,Meilleurs effets spéciaux
Adobe Visual Effects Award,Best Visual Effects,Meilleurs effets spéciaux
Adrienne Shelly Award,Festival Award,Prix du festival
Adult Jury Award - Best Animated Short Film,Best Animated Short Film,Meilleur court métrage d’animation
Aer Lingus Discovery Award,Festival Award,Prix du festival
AFCA 2013 Top Ten Films,Top 10 Films,Top 10 films
AFCA Award - Best Actress,Best Actress,Meilleure actrice
AFCA Award - Best Adapted Screenplay,Best Screenplay,Meilleur scénario
AFCA Award - Best Cinematography,Best Cinematography,Meilleure photographie
AFCA Award - Best Director,Best Director,Meilleur réalisateur
AFCA Award - Best Documentary,Best Documentary,Meilleur documentaire
AFCA Award - Best Film,Best Film,Meilleur film
AFCA Award - Best First Film,Best First Film,Meilleur premier film
AFCA Award - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
AFCA Award - Best International Film,Best International Film,Meilleur film international
AFCA Award - Best International Film (English Language),Best International Film,Meilleur film international
AFCA Award - Best International Film (Foreign Language),Best International Film,Meilleur film international
AFCA Award - Best Original Screenplay,Best Screenplay,Meilleur scénario
AFCA Award - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
AFCA Award - Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
AFI Special Award,Special Mention,Mention spéciale
Ahmet Uluçay Grand Prize (Short Film Competition) [Ahmet Uluçay Büyük Ödülü - Kısa Film Yarışması],Best Film,Meilleur film
Alacran Music in Film Award,Best Music,Meilleure musique
Albert Maysles Award for Best New Documentary Director,Best Documentary,Meilleur documentaire
Alexander Korda Award for Best British Film,Best Regional Film,Meilleur film par région
Alfred P. Sloan Feature Film Prize,Best Feature,Meilleur long métrage
ALFS Award - Actor of the Year,Best Actor,Meilleur acteur
ALFS Award - Actress of the Year,Best Actress,Meilleure actrice
ALFS Award - Breakthrough British/Irish Filmmaker of the Year,Best Director,Meilleur réalisateur
ALFS Award - British/Irish Actor of the Year,Best Actor,Meilleur acteur
ALFS Award - British/Irish Actress of the Year,Best Actress,Meilleure actrice
ALFS Award - British/Irish Film of the Year,Best Regional Film,Meilleur film par région
ALFS Award - Director of the Year,Best Director,Meilleur réalisateur
ALFS Award - Documentary of the Year,Best Documentary,Meilleur documentaire
ALFS Award - Film of the Year,Best Film,Meilleur film
ALFS Award - Foreign Language Film of the Year,Best Foreign Film,Meilleur film étranger
ALFS Award - Foreign-Language Film of the Year,Best Foreign Film,Meilleur film étranger
ALFS Award - Screenwriter of the Year,Best Screenplay,Meilleur scénario
ALFS Award - Supporting Actor of the Year,Best Supporting Actor,Meilleur acteur dans un second rôle
ALFS Award - Supporting Actress of the Year,Best Supporting Actress,Meilleure actrice dans un second rôle
ALFS Award - Technical Achievement Award - Cinematography,Best Cinematography,Meilleure photographie
ALFS Award - Technical Achievement of the Year,Best Technical Achievement,Meilleure contribution technique
ALFS Award - Young British/Irish Performer of the Year,Best Promising Actor,Meilleur espoir masculin
Allan King Documentary Award,Best Documentary,Meilleur documentaire
Allan King Documentary Film Award,Best Documentary,Meilleur documentaire
Amanda - Best Foreign Feature Film,Best Foreign Film,Meilleur film étranger
American Riviera Award,Festival Award,Prix du festival
Amnesty International Award,Festival Award,Prix du festival
Amnesty International Film Prize,Best Film,Meilleur film
André-Martin Award - Best French Short Film,Best Short Film,Meilleur court métrage
André-Martin Award for a French Short Film,Best Short Film,Meilleur court métrage
Andreas Award,Festival Award,Prix du festival
Andreas Ecumenical Award,Festival Award,Prix du festival
Animated Film,Best Animated Film,Meilleur film d’animation
Animated Film of the Year,Best Animated Film,Meilleur film d’animation
Animated Movie of the Year,Best Animated Film,Meilleur film d’animation
Animated Series Competition,Best Animated Film,Meilleur film d’animation
Animated Short (Audience Award),Best Animated Short Film,Meilleur court métrage d’animation
Animated Short (SXSW Grand Jury Award),Best Animated Short Film,Meilleur court métrage d’animation
Animated Short Film,Best Animated Short Film,Meilleur court métrage d’animation
Animated Short Film (Grand Jury Prize),Best Animated Short Film,Meilleur court métrage d’animation
Animated Shorts,Best Animated Short Film,Meilleur court métrage d’animation
Animation (Audience Award),Best Animated Film,Meilleur film d’animation
Animation (Short Film Jury Prize),Best Animated Short Film,Meilleur court métrage d’animation
Animation of the Year,Best Animated Film,Meilleur film d’animation
Animation Writers Caucus Animation Award,Best Animated Film,Meilleur film d’animation
ARCA Cinemagiovani Award - Best Film of Venezia 75,Best Film,Meilleur film
ARCA CinemaGiovani Award for Best Film of Venezia 77,Best Film,Meilleur film
Archie Award - Best First Feature,Best First Film,Meilleur premier film
Archie Award (First Feature),Best First Film,Meilleur premier film
ARRI Award,Festival Award,Prix du festival
ARRI/OSRAM Award,Festival Award,Prix du festival
ARRI/OSRAM Award - Best International Film,Best International Film,Meilleur film international
Art Cinema Award,Festival Award,Prix du festival
Art Cinema Award - Best Feature,Best Feature,Meilleur long métrage
Art Cinema Award - Best Film,Best Film,Meilleur film
Art Cinema Award (Directors' Fortnight),Best Director,Meilleur réalisateur
Art Exploration Award,Festival Award,Prix du festival
Artisan Award,Festival Award,Prix du festival
Artisan Award - Cinematography,Best Cinematography,Meilleure photographie
Artisan Award - Makeup and Hair,Best Make-Up,Meilleur maquillage
Artistic Achievement Award,Festival Award,Prix du festival
Asecan Award,Festival Award,Prix du festival
Audentia Award,Festival Award,Prix du festival
Audi Short Film Award,Best Short Film,Meilleur court métrage
Audience - Award Documentary,Best Documentary,Meilleur documentaire
Audience Award,Audience Award,Prix du public
Audience Award - Animated Short,Best Animated Short Film,Meilleur court métrage d’animation
Audience Award - Animated Short Film,Best Animated Short Film,Meilleur court métrage d’animation
Audience Award - Balkan Survey,Audience Award,Prix du public
Audience Award - Best Animated Short,Best Animated Short Film,Meilleur court métrage d’animation
Audience Award - Best European Film,Best Film,Meilleur film
Audience Award - Best Feature,Best Feature,Meilleur long métrage
Audience Award - Best Feature Film,Best Feature,Meilleur long métrage
Audience Award - Best Fiction Film,Best Film,Meilleur film
Audience Award - Best Film,Best Film,Meilleur film
Audience Award - Best Foreign Actress,Best Actress,Meilleure actrice
Audience Award - Best Foreign Documentary,Best Documentary,Meilleur documentaire
Audience Award - Best Foreign Feature Film,Best Feature,Meilleur long métrage
Audience Award - Best Foreign Fiction,Audience Award,Prix du public
Audience Award - Best Foreign-Language Film (Melhor Filme Estrangeiro),Audience Award,Prix du public
Audience Award - Best International Fiction Film,Best International Film,Meilleur film international
Audience Award - Best Live-Action Short,Best Live-Action,Meilleur film en prises de vues réelles
Audience Award - Best Narrative Feature,Best Fiction,Meilleure fiction
Audience Award - Best Narrative Short,Best Short Film,Meilleur court métrage
Audience Award - Best Short Film,Best Short Film,Meilleur court métrage
Audience Award - Canvas Audience Award,Audience Award,Prix du public
Audience Award - EFA Selection,Audience Award,Prix du public
Audience Award - Films for Children,Audience Award,Prix du public
Audience Award - Honorable Mention,Audience Award,Prix du public
Audience Award - Mind the Gap,Audience Award,Prix du public
Audience Award - New Auteurs,Audience Award,Prix du public
Audience Award - Short Narrative,Best Short Film,Meilleur court métrage
Audience Award - World Cinema,Audience Award,Prix du public
Audience Award - World Cinema - Foreign Language,Best Foreign Film,Meilleur film étranger
Audience Award (Documentary Feature Competition),Best Documentary,Meilleur documentaire
Audience Award (Documentary),Best Documentary,Meilleur documentaire
Audience Award (European Film),Audience Award,Prix du public
Audience Award (Focus Quebec/Canada),Audience Award,Prix du public
Audience Award (Headliners),Audience Award,Prix du public
Audience Award (Lab Competition),Audience Award,Prix du public
Audience Award (New Auteurs),Audience Award,Prix du public
Audience Award (Rellumes),Audience Award,Prix du public
Audience Award (Short),Best Short Film,Meilleur court métrage
Audience Award (U.S. Dramatic Competition),Best Dramatic Film,Meilleur film dramatique
Audience Award (US Cinema),Audience Award,Prix du public
Audience Award (World Cinema),Audience Award,Prix du public
Audience Award Animated Short,Best Animated Short Film,Meilleur court métrage d’animation
Audience Award Bayern 2 and SZ - Audience Award,Audience Award,Prix du public
Audience Award for Best European Film,Audience Award,Prix du public
Audience Award for Best Feature,Best Feature,Meilleur long métrage
Audience Award for Best Film,Best Film,Meilleur film
Audience Award for Best Narrative Feature,Best Fiction,Meilleure fiction
Audience Award for Marquee Feature,Best Feature,Meilleur long métrage
Audience Award for Narrative Feature,Best Fiction,Meilleure fiction
Audience Award for World Cinema,Audience Award,Prix du public
Audience Award Official Section,Audience Award,Prix du public
Audience Award/World Cinema,Audience Award,Prix du public
Audience Awards,Audience Award,Prix du public
Audience Choice Award,Audience Award,Prix du public
Audience Choice Award - Best International Feature,Best Feature,Meilleur long métrage
Audience Choice Award - Best International Film,Best Film,Meilleur film
Audience Choice Award - Best Narrative Foreign-Language Feature,Best Fiction,Meilleure fiction
Audience Choice Award - Best Short Film,Best Short Film,Meilleur court métrage
Audience Choice Award - International Documentary,Best Documentary,Meilleur documentaire
Audience Choice Award - Late Shift,Audience Award,Prix du public
Audience Choice Award - Narrative Short (Live Action or Animated),Best Animated Film,Meilleur film d’animation
Audience Choice Award for Feature Film,Best Feature,Meilleur long métrage
Audience Choice Award Late Shift,Audience Award,Prix du public
Audience Choice Award Narrative Short,Best Short Film,Meilleur court métrage
Audience Choice Award Special Presentations,Audience Award,Prix du public
Audience Choice Awards - Headliner,Audience Award,Prix du public
Audience Dragon Award Best Nordic Film,Audience Award,Prix du public
Audience Favorite,Audience Award,Prix du public
Audience Favorite (¡Viva el Cine! Narrative),Audience Award,Prix du public
Audience Favorite (Mind the Gap),Audience Award,Prix du public
Audience Favorite (US Cinema),Audience Award,Prix du public
Audience Favorite (Valley of the Docs Gold),Audience Award,Prix du public
Audience Favorite (World Cinema Gold),Audience Award,Prix du public
Audience Favorite (World Cinema),Audience Award,Prix du public
Audience Favorite Award,Audience Award,Prix du public
Audience Favorite U.S. Cinema – Gold Award,Audience Award,Prix du public
Audience Prize,Audience Award,Prix du public
Aurora Award,Festival Award,Prix du festival
Avant-Garde and Genre Competition,Experimental Film,Film expérimental
Award for Best Animation Short Film,Best Short Film,Meilleur court métrage
Award for Justice,Festival Award,Prix du festival
Awards of Excellence,Festival Award,Prix du festival
Awards of Excellence (New Asian Currents),Festival Award,Prix du festival
Axis,Festival Award,Prix du festival
BAFTA Children's Award - Feature Film,Best Feature,Meilleur long métrage
BAFTA Film Award - Best Adapted Screenplay,Best Screenplay,Meilleur scénario
BAFTA Film Award - Best Cinematography,Best Cinematography,Meilleure photographie
BAFTA Film Award - Best Director,Best Director,Meilleur réalisateur
BAFTA Film Award - Best Editing,Best Editing,Meilleur montage
BAFTA Film Award - Best Film,Best Film,Meilleur film
BAFTA Film Award - Best Screenplay (Original),Best Screenplay,Meilleur scénario
BAFTA Film Award - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
BAFTA Kids Vote - Feature Film,Best Feature,Meilleur long métrage
BAFTA Kids Vote - Feature Film (BAFTA Children's Award),Best Feature,Meilleur long métrage
Baltic Sea (Sleepwalkers),Festival Award,Prix du festival
Bayern 2 and SZ Audience Award (Audience Award),Audience Award,Prix du public
Berlinale Special Gala,Festival Award,Prix du festival
Berliner Morgenpost Readers' Jury Award,Jury Award,Prix du jury
Best 2018 Movies Already Seen,Top 10 Films,Top 10 films
Best 3D Film (Jury Award),Jury Award,Prix du jury
Best Achievement in Special Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
Best Acting Ensemble,Best Ensemble,Meilleure distribution
Best Action Choreography,Best Choregraphy,Meilleure chorégraphie
Best Action Female Heroes,Best Actress,Meilleure actrice
Best Action Movie,Best Film,Meilleur film
Best Actor,Best Actor,Meilleur acteur
Best Actor - International Competition,Best Actor,Meilleur acteur
Best Actor - Motion Picture - Drama,Best Actor,Meilleur acteur
Best Actor - Motion Picture - Musical/Comedy,Best Actor,Meilleur acteur
Best Actor - Motion Picture – Musical/Comedy,Best Actor,Meilleur acteur
Best Actor - Motion Picture Drama,Best Actor,Meilleur acteur
Best Actor - Motion Picture Musical/Comedy,Best Actor,Meilleur acteur
Best Actor – Motion Picture Drama,Best Actor,Meilleur acteur
