mubi_label,english_label,french_label
Best Actor – Motion Picture Musical or Comedy,Best Actor,Meilleur acteur
Best Actor – Supporting Role,Best Actor,Meilleur acteur
Best Actor (AISGE Award),Best Actor,Meilleur acteur
Best Actor (Desert Palm Achievement Award),Best Actor,Meilleur acteur
Best Actor (Festival Prize),Best Actor,Meilleur acteur
Best Actor (Founder's Award),Best Actor,Meilleur acteur
Best Actor (Gilles Lellouche),Best Actor,Meilleur acteur
Best Actor (International Award),Best Actor,Meilleur acteur
Best Actor (International Competition),Best Actor,Meilleur acteur
Best Actor (Jury Prize),Best Actor,Meilleur acteur
Best Actor (Meilleur acteur),Best Actor,Meilleur acteur
Best Actor (Silver Berlin Bear),Best Actor,Meilleur acteur
Best Actor (Silver Hugo),Best Actor,Meilleur acteur
Best Actor [En İyi Erkek Oyuncu],Best Actor,Meilleur acteur
Best Actor Award,Best Actor,Meilleur acteur
Best Actor Film,Best Actor,Meilleur acteur
Best Actor in a Canadian Film,Best Actor,Meilleur acteur
Best Actor in a Comedy,Best Actor,Meilleur acteur
Best Actor in a Comedy Movie,Best Actor,Meilleur acteur
Best Actor in a Lead Role - Film,Best Actor,Meilleur acteur
Best Actor in a Leading Role,Best Actor,Meilleur acteur
Best Actor in a Motion Picture - Comedy or Musical,Best Actor,Meilleur acteur
Best Actor in a Motion Picture - Drama,Best Actor,Meilleur acteur
Best Actor in a Motion Picture - Musical or Comedy,Best Actor,Meilleur acteur
Best Actor in a Motion Picture – Drama,Best Actor,Meilleur acteur
Best Actor in a Supporting Role,Best Actor,Meilleur acteur
Best Actor in a Supporting Role - Film,Best Actor,Meilleur acteur
Best Actor in an Action Movie,Best Actor,Meilleur acteur
Best Actor in the Official Fantàstic Selection,Best Actor,Meilleur acteur
"Best Actor– Motion Picture, Drama",Best Actor,Meilleur acteur
Best Actor/Actress Award,Best Actor,Meilleur acteur
Best Actress,Best Actress,Meilleure actrice
Best Actress - Audience Award,Best Actress,Meilleure actrice
Best Actress - International Competition,Best Actress,Meilleure actrice
Best Actress - Motion Picture - Drama,Best Actress,Meilleure actrice
Best Actress - Motion Picture - Musical/Comedy,Best Actress,Meilleure actrice
Best Actress - Motion Picture – Musical/Comedy,Best Actress,Meilleure actrice
Best Actress - Motion Picture Drama,Best Actress,Meilleure actrice
Best Actress - Motion Picture Musical/Comedy,Best Actress,Meilleure actrice
Best Actress - Supporting Role,Best Actress,Meilleure actrice
"Best Actress – Motion Picture, Musical/Comedy",Best Actress,Meilleure actrice
Best Actress – Supporting Role,Best Actress,Meilleure actrice
Best Actress (International Award),Best Actress,Meilleure actrice
Best Actress (International),Best Actress,Meilleure actrice
Best Actress (Meilleure actrice),Best Actress,Meilleure actrice
Best Actress (Miglior attrice protagonista),Best Actress,Meilleure actrice
Best Actress (Silver Berlin Bear),Best Actress,Meilleure actrice
Best Actress (Silver Pyramid),Best Actress,Meilleure actrice
Best Actress (Silver Shell),Best Actress,Meilleure actrice
Best Actress Award,Best Actress,Meilleure actrice
Best Actress Film,Best Actress,Meilleure actrice
Best Actress in a Canadian Film,Best Actress,Meilleure actrice
Best Actress in a Comedy,Best Actress,Meilleure actrice
Best Actress in a Foreign Language Film,Best Actress,Meilleure actrice
Best Actress in a Lead Role - Film,Best Actress,Meilleure actrice
Best Actress in a Leading Role,Best Actress,Meilleure actrice
Best Actress in a Motion Picture - Drama,Best Actress,Meilleure actrice
Best Actress in a Motion Picture - Musical or Comedy,Best Actress,Meilleure actrice
Best Actress in a Motion Picture – Drama,Best Actress,Meilleure actrice
Best Actress in a Supporting Role,Best Actress,Meilleure actrice
Best Actress in a Supporting Role - Film,Best Actress,Meilleure actrice
Best Actress in a Supporting Role in a Motion Picture,Best Actress,Meilleure actrice
Best Actress in an Action Movie,Best Actress,Meilleure actrice
"Best Actress– Motion Picture, Drama",Best Actress,Meilleure actrice
Best Adaptation,Other,Autre
Best Adapted Screenplay,Best Screenplay,Meilleur scénario
Best Adapted Screenplay (Mejor Guión Adaptado),Best Screenplay,Meilleur scénario
Best Adapted Screenplay (Millor Guió Adaptat),Best Screenplay,Meilleur scénario
Best Adapted Screenplay (Screen),Best Screenplay,Meilleur scénario
Best American Feature,Best Feature,Meilleur long métrage
Best American Film,Best Regional Film,Meilleur film par région
Best American Film (Bedste amerikanske film),Best Regional Film,Meilleur film par région
Best Animated Character,Best Animated Film,Meilleur film d’animation
Best Animated Character - International Competition,Best Animated Film,Meilleur film d’animation
Best Animated Feature,Best Animated Film,Meilleur film d’animation
Best Animated Feature (Millor Pel·lícula d'Animació),Best Animated Film,Meilleur film d’animation
Best Animated Feature (Short),Best Animated Film,Meilleur film d’animation
Best Animated Feature Film,Best Animated Film,Meilleur film d’animation
Best Animated Featured FIlm,Best Animated Film,Meilleur film d’animation
Best Animated Featured Film,Best Animated Film,Meilleur film d’animation
Best Animated Female,Best Animated Film,Meilleur film d’animation
Best Animated Film,Best Animated Film,Meilleur film d’animation
Best Animated Film - International Competition,Best Animated Film,Meilleur film d’animation
Best Animated Film - National Competition,Best Animated Film,Meilleur film d’animation
Best Animated Film (Meilleur film d'animation),Best Animated Film,Meilleur film d’animation
Best Animated Film (Mejor Película de Animación),Best Animated Film,Meilleur film d’animation
Best Animated Film (Melhor Filme de Animação),Best Animated Film,Meilleur film d’animation
Best Animated Film (Short),Best Animated Film,Meilleur film d’animation
Best Animated Short,Best Animated Short Film,Meilleur court métrage d’animation
Best Animated Short (Silver Hugo),Best Animated Short Film,Meilleur court métrage d’animation
Best Animated Short Film,Best Animated Short Film,Meilleur court métrage d’animation
Best Animated Short Film (Gold Plaque),Best Animated Short Film,Meilleur court métrage d’animation
Best Animated/Experimental Short,Best Animated Short Film,Meilleur court métrage d’animation
Best Animation,Best Animated Film,Meilleur film d’animation
Best Animation (LAFCA Award),Best Animated Film,Meilleur film d’animation
Best Animation (Short Film),Best Animated Short Film,Meilleur court métrage d’animation
Best Animation Film,Best Animated Film,Meilleur film d’animation
Best Animation Film (Audience Award),Best Animated Film,Meilleur film d’animation
Best Animation Film (Golden Goblet),Best Animated Film,Meilleur film d’animation
Best Animation Film Award (International Competition),Best Animated Film,Meilleur film d’animation
Best Animation Short,Best Animated Short Film,Meilleur court métrage d’animation
Best Animation Short Film,Best Animated Short Film,Meilleur court métrage d’animation
Best Arab Film,Best Regional Film,Meilleur film par région
Best Art Direction,Best Production Design,Meilleure direction artistique
Best Art Direction - International Competition,Best Production Design,Meilleure direction artistique
Best Art Direction/Production Design,Best Production Design,Meilleure direction artistique
Best Austin Film,Festival Award,Autre
Best Australian Short Film,Best Short Film,Meilleur court métrage
Best Bay Area Documentary Short,Best Documentary,Meilleur documentaire
Best Best Visual Effects,Best Visual Effects,Meilleurs effets spéciaux
Best Brazilian Film (Youth Award),Best Regional Film,Meilleur film par région
Best Breakthrough Actor,Best Actor,Meilleur acteur
Best Breakthrough Performance,Best Actor,Meilleur acteur
Best Breakthrough Performer,Best Actor,Meilleur acteur
Best British Actor,Best Actor,Meilleur acteur
Best British Film,Best Regional Film,Meilleur film par région
Best British Independent Film,Best Regional Film,Meilleur film par région
Best British Short Animation,Best Animated Film,Meilleur film d’animation
Best British Short Film,Best Short Film,Meilleur court métrage
Best Canadian Documentary,Best Documentary,Meilleur documentaire
Best Canadian Feature,Best Regional Film,Meilleur film par région
Best Canadian Film,Best Regional Film,Meilleur film par région
Best Canadian Short Film,Best Short Film,Meilleur court métrage
Best Cast,Best Ensemble,Meilleure distribution
Best Casting,Best Ensemble,Meilleure distribution
Best Casting Director,Best Ensemble,Meilleure distribution
Best Children's Feature Film (Audience Award),Audience Award,Prix du public
Best Children's Film (Kids Jury Award),Jury Award,Prix du jury
Best Children's Film (Melhor Filme Infantil),Audience Award,Prix du public
Best Cinema (Cinematographer Award),Best Cinematography,Meilleure photographie
Best Cinematic and Box Office Achievement,Festival Award,Prix du festival
Best Cinematographer,Best Cinematography,Meilleure photographie
Best Cinematography,Best Cinematography,Meilleure photographie
Best Cinematography - International Competition,Best Cinematography,Meilleure photographie
Best Cinematography (Aluminum Horse),Best Cinematography,Meilleure photographie
Best Cinematography (International Film Critics Week),Best Cinematography,Meilleure photographie
Best Cinematography (Meilleure image),Best Cinematography,Meilleure photographie
Best Cinematography (Meilleure photographie),Best Cinematography,Meilleure photographie
Best Cinematography (Silver Plaque),Best Cinematography,Meilleure photographie
Best Comedy,Best Comedy,Meilleure comédie
Best Comedy Movie,Best Comedy,Meilleure comédie
Best Composer,Best Music,Meilleure musique
Best Costume,Best Costume Design,Meilleurs costumes
Best Costume & Makeup Design,Best Costume Design,Meilleurs costumes
Best Costume Design,Best Costume Design,Meilleurs costumes
Best Costume Design - International Competition,Best Costume Design,Meilleurs costumes
Best Costumes,Best Costume Design,Meilleurs costumes
Best Danish Film,Best Regional Film,Meilleur film par région
Best Debut as Director,Best First Film,Meilleur premier film
Best Debut Director,Best First Film,Meilleur premier film
Best Debut Director - Feature Documentary,Best Documentary,Meilleur documentaire
Best Debut Feature,Best First Film,Meilleur premier film
Best Debut Film,Best First Film,Meilleur premier film
Best Debut Screenwriter,Best First Film,Meilleur premier film
Best Direction,Best Director,Meilleur réalisateur
Best Direction (International Award),Best Director,Meilleur réalisateur
Best Direction in Film,Best Director,Meilleur réalisateur
Best Director,Best Director,Meilleur réalisateur
Best Director - Audience Award,Best Director,Meilleur réalisateur
Best Director - Film,Best Director,Meilleur réalisateur
Best Director - International Competition,Best Director,Meilleur réalisateur
Best Director - Motion Picture,Best Director,Meilleur réalisateur
Best Director – Motion Picture,Best Director,Meilleur réalisateur
Best Director (Audience Award),Best Director,Meilleur réalisateur
Best Director (Meilleur réalisateur),Best Director,Meilleur réalisateur
Best Director (Migliore Regia),Best Director,Meilleur réalisateur
Best Director (Venice Horizons Award),Best Director,Meilleur réalisateur
Best Director [En İyi Yönetmen],Best Director,Meilleur réalisateur
Best Director Debut,Best Director,Meilleur réalisateur
Best Director Fiction,Best Director,Meilleur réalisateur
Best Director in a Short Film - National Competition,Best Director,Meilleur réalisateur
Best Director Motion Picture,Best Director,Meilleur réalisateur
Best Director of a Canadian Film,Best Director,Meilleur réalisateur
Best Director of the International Competition,Best Director,Meilleur réalisateur
Best Director's Debut,Best Director,Meilleur réalisateur
Best Directorial Debut,Best Director,Meilleur réalisateur
Best Documentary,Best Documentary,Meilleur documentaire
Best Documentary (Another World is Possible),Best Documentary,Meilleur documentaire
Best Documentary (Bedste dokumentar),Best Documentary,Meilleur documentaire
Best Documentary (Gotham Independent Film Award),Best Documentary,Meilleur documentaire
Best Documentary (International),Best Documentary,Meilleur documentaire
Best Documentary (Local or International),Best Documentary,Meilleur documentaire
Best Documentary (People's Choice Award),Best Documentary,Meilleur documentaire
Best Documentary Award,Best Documentary,Meilleur documentaire
Best Documentary by or about Women,Best Documentary,Meilleur documentaire
Best Documentary Feature,Best Documentary,Meilleur documentaire
Best Documentary Feature (Audience Award),Best Documentary,Meilleur documentaire
Best Documentary Feature (Audience Choice Award),Best Documentary,Meilleur documentaire
Best Documentary Feature (Black Pearl Award),Best Documentary,Meilleur documentaire
Best Documentary Feature (Jury Award),Best Documentary,Meilleur documentaire
Best Documentary Feature Film,Best Documentary,Meilleur documentaire
Best Documentary Film,Best Documentary,Meilleur documentaire
Best Documentary Screenplay (Screen),Best Documentary,Meilleur documentaire
Best Documentary Short,Best Documentary,Meilleur documentaire
Best Documentary Short Film,Best Short Film,Meilleur court métrage
Best Documentary Short Film Award,Best Short Film,Meilleur court métrage
Best Documentary/Non-Fiction Film,Best Documentary,Meilleur documentaire
Best Drama Short Film Award,Best Short Film,Meilleur court métrage
Best Dramatic Presentation,Best Dramatic Film,Meilleur film dramatique
Best Dramatic Presentation - Long Form,Best Dramatic Film,Meilleur film dramatique
Best Dramatic Presentation (Long Form),Best Dramatic Film,Meilleur film dramatique
"Best Dramatic Presentation, Long Form",Best Dramatic Film,Meilleur film dramatique
Best Duo - International Competition,Best Duo,Meilleur duo
Best Duo (International Competition),Best Duo,Meilleur duo
Best Editing,Best Editing,Meilleur montage
Best Editing - International Competition,Best Editing,Meilleur montage
Best Editing (Creative Recognition Award),Best Editing,Meilleur montage
Best Editing (Meilleur montage),Best Editing,Meilleur montage
Best Editing (Mejor Montaje),Best Editing,Meilleur montage
Best Editing (Najlepszy Montaz),Best Editing,Meilleur montage
Best Editing in a Feature Length Documentary,Best Editing,Meilleur montage
Best Editor,Best Editing,Meilleur montage
Best Effects,Best Visual Effects,Meilleurs effets spéciaux
Best English Language Film,Best Regional Film,Meilleur film par région
Best English Language Film (Årets engelsksprogede film),Best Regional Film,Meilleur film par région
Best English-Language Film,Best Regional Film,Meilleur film par région
Best Ensemble,Best Ensemble,Meilleure distribution
Best Ensemble - International Competition,Best Ensemble,Meilleure distribution
Best Ensemble Cast,Best Ensemble,Meilleure distribution
Best Ensemble Performance,Best Ensemble,Meilleure distribution
Best Equality of the Sexes,Festival Award,Prix du festival
Best Euro-Mediterranean Film,Best Regional Film,Meilleur film par région
